[2026-05-24 09:04:45] RUNNING | model=SuTraN_NDA | log=BPI_Challenge_2012_W
[2026-05-30 13:35:37] DONE | model=CRTP_LSTM_NDA | log=BPIC15_4
[2026-05-30 13:35:37] RUNNING | model=BEST | log=InternationalDeclarations
[2026-05-30 13:36:26] DONE | model=BEST | log=InternationalDeclarations
[2026-05-30 13:36:26] RUNNING | model=SuTraN_NDA | log=BPI_Challenge_2012_A
[2026-05-30 13:45:17] DONE | model=SEP_LSTM | log=BPIC15_5
[2026-05-30 13:45:17] RUNNING | model=CRTP_LSTM_NDA | log=BPI_Challenge_2012_A
[2026-05-30 13:50:45] DONE | model=SEP_LSTM | log=BPIC15_3
[2026-05-30 13:50:45] RUNNING | model=ED_LSTM | log=BPI_Challenge_2012_A
[2026-05-30 13:56:24] DONE | model=CRTP_LSTM_NDA | log=RequestForPayment
[2026-05-30 13:56:24] RUNNING | model=SEP_LSTM | log=BPI_Challenge_2012_A
[2026-05-30 13:56:54] DONE | model=SEP_LSTM | log=DomesticDeclarations
[2026-05-30 13:56:54] RUNNING | model=BEST | log=BPI_Challenge_2012_A
[2026-05-30 13:57:08] DONE | model=CRTP_LSTM_NDA | log=BPIC15_1
[2026-05-30 13:57:08] RUNNING | model=SuTraN_NDA | log=BPI_Challenge_2012_O
[2026-05-30 13:57:17] DONE | model=BEST | log=BPI_Challenge_2012_A
[2026-05-30 13:57:17] RUNNING | model=CRTP_LSTM_NDA | log=BPI_Challenge_2012_O
[2026-05-30 14:05:04] DONE | model=CRTP_LSTM_NDA | log=PrepaidTravelCost
[2026-05-30 14:05:04] RUNNING | model=ED_LSTM | log=BPI_Challenge_2012_O
[2026-05-30 14:10:00] DONE | model=SuTraN_NDA | log=Sepsis
[2026-05-30 14:10:00] RUNNING | model=SEP_LSTM | log=BPI_Challenge_2012_O
[2026-05-30 14:11:42] DONE | model=SuTraN_NDA | log=PrepaidTravelCost
[2026-05-30 14:11:42] RUNNING | model=BEST | log=BPI_Challenge_2012_O
[2026-05-30 14:11:56] DONE | model=BEST | log=BPI_Challenge_2012_O
[2026-05-30 14:11:56] RUNNING | model=SuTraN_NDA | log=BPI_Challenge_2012_W
[2026-05-30 14:17:58] DONE | model=CRTP_LSTM_NDA | log=BPIC15_2
[2026-05-30 14:17:58] RUNNING | model=CRTP_LSTM_NDA | log=BPI_Challenge_2012_W
[2026-05-30 14:20:00] DONE | model=CRTP_LSTM_NDA | log=DomesticDeclarations
[2026-05-30 14:20:00] RUNNING | model=ED_LSTM | log=BPI_Challenge_2012_W
[2026-05-30 14:21:29] DONE | model=ED_LSTM | log=PrepaidTravelCost
[2026-05-30 14:21:29] RUNNING | model=SEP_LSTM | log=BPI_Challenge_2012_W
[2026-05-30 14:24:30] DONE | model=CRTP_LSTM_NDA | log=BPIC15_3
[2026-05-30 14:24:30] RUNNING | model=BEST | log=BPI_Challenge_2012_W
[2026-05-30 14:26:05] DONE | model=ED_LSTM | log=DomesticDeclarations
[2026-05-30 14:26:05] RUNNING | model=SuTraN_NDA | log=Hospital_Billing
[2026-05-30 14:35:24] DONE | model=ED_LSTM | log=BPIC15_4
[2026-05-30 14:35:24] RUNNING | model=CRTP_LSTM_NDA | log=Hospital_Billing
[2026-05-30 14:38:28] DONE | model=SEP_LSTM | log=InternationalDeclarations
[2026-05-30 14:38:28] RUNNING | model=ED_LSTM | log=Hospital_Billing
[2026-05-30 14:41:01] DONE | model=BEST | log=BPI_Challenge_2012_W
[2026-05-30 14:41:01] RUNNING | model=SEP_LSTM | log=Hospital_Billing
[2026-05-30 14:49:57] DONE | model=ED_LSTM | log=BPI_Challenge_2012_A
[2026-05-30 14:49:57] RUNNING | model=BEST | log=Hospital_Billing
[2026-05-30 14:51:50] DONE | model=CRTP_LSTM_NDA | log=BPI_Challenge_2012_O
[2026-05-30 14:51:50] RUNNING | model=SuTraN_NDA | log=Road_Traffic_Fine_Management_Process
[2026-05-30 14:52:06] DONE | model=BEST | log=Hospital_Billing
[2026-05-30 14:52:06] RUNNING | model=CRTP_LSTM_NDA | log=Road_Traffic_Fine_Management_Process
[2026-05-30 14:55:03] DONE | model=ED_LSTM | log=BPIC15_1
[2026-05-30 14:55:03] RUNNING | model=ED_LSTM | log=Road_Traffic_Fine_Management_Process
[2026-05-30 14:56:16] DONE | model=ED_LSTM | log=BPI_Challenge_2012_O
[2026-05-30 14:56:16] RUNNING | model=SEP_LSTM | log=Road_Traffic_Fine_Management_Process
[2026-05-30 14:56:22] DONE | model=SEP_LSTM | log=BPI_Challenge_2012_A
[2026-05-30 14:56:22] RUNNING | model=BEST | log=Road_Traffic_Fine_Management_Process
[2026-05-30 14:57:16] DONE | model=SEP_LSTM | log=BPI_Challenge_2012_O
[2026-05-30 14:58:22] DONE | model=BEST | log=Road_Traffic_Fine_Management_Process
[2026-05-30 14:58:30] DONE | model=CRTP_LSTM_NDA | log=BPIC15_5
[2026-05-30 15:00:13] DONE | model=SuTraN_NDA | log=DomesticDeclarations
[2026-05-30 15:09:39] DONE | model=CRTP_LSTM_NDA | log=InternationalDeclarations
[2026-05-30 15:13:29] DONE | model=ED_LSTM | log=InternationalDeclarations
[2026-05-30 15:21:07] DONE | model=CRTP_LSTM_NDA | log=BPI_Challenge_2012_A
[2026-05-30 15:26:38] DONE | model=SuTraN_NDA | log=BPI_Challenge_2012_O
[2026-05-30 15:28:57] DONE | model=ED_LSTM | log=BPIC15_2
[2026-05-30 15:58:46] DONE | model=SuTraN_NDA | log=BPI_Challenge_2012_A
[2026-05-30 16:11:21] DONE | model=ED_LSTM | log=BPIC15_5
[2026-05-30 16:32:55] DONE | model=SEP_LSTM | log=BPI_Challenge_2012_W
[2026-05-30 16:38:23] DONE | model=SuTraN_NDA | log=InternationalDeclarations
[2026-05-30 16:48:01] DONE | model=ED_LSTM | log=BPIC15_3
[2026-05-30 17:12:58] DONE | model=CRTP_LSTM_NDA | log=BPI_Challenge_2012_W
[2026-05-30 17:21:30] DONE | model=ED_LSTM | log=BPI_Challenge_2012_W
[2026-05-30 17:33:15] DONE | model=SuTraN_NDA | log=BPIC15_4
[2026-05-30 19:35:33] RUNNING | model=SuTraN_DA | log=BPIC15_1
[2026-05-30 19:35:33] RUNNING | model=CRTP_LSTM_DA | log=BPIC15_1
[2026-05-30 19:50:32] DONE | model=ED_LSTM | log=Hospital_Billing
[2026-05-30 19:56:45] DONE | model=SEP_LSTM | log=Hospital_Billing
[2026-05-30 20:56:48] DONE | model=CRTP_LSTM_NDA | log=Hospital_Billing
[2026-05-30 20:57:16] DONE | model=SEP_LSTM | log=Road_Traffic_Fine_Management_Process
[2026-05-30 22:20:29] OOM→CPU | model=CRTP_LSTM_DA | log=BPIC15_1
[2026-05-30 22:45:20] RUNNING | model=SuTraN_DA | log=BPIC15_1
[2026-05-30 22:47:21] DONE | model=ED_LSTM | log=Road_Traffic_Fine_Management_Process
[2026-05-31 01:50:13] DONE | model=SuTraN_NDA | log=Hospital_Billing
[2026-05-31 02:14:22] DONE | model=CRTP_LSTM_NDA | log=Road_Traffic_Fine_Management_Process
[2026-05-31 04:03:13] DONE | model=SuTraN_NDA | log=Road_Traffic_Fine_Management_Process
[2026-05-31 04:45:42] DONE | model=SuTraN_NDA | log=BPI_Challenge_2012_W
[2026-05-31 06:38:46] DONE | model=SuTraN_NDA | log=BPIC15_1
[2026-05-31 07:33:23] DONE | model=SuTraN_NDA | log=BPIC15_5
[2026-05-31 08:25:30] DONE | model=SuTraN_NDA | log=BPIC15_3
[2026-05-31 09:48:00] DONE | model=SuTraN_NDA | log=BPIC15_2
[2026-05-31 11:02:27] RUNNING | model=SuTraN_DA | log=BPIC15_1
[2026-05-31 11:02:27] RUNNING | model=CRTP_LSTM_DA | log=BPIC15_1
[2026-05-31 11:34:03] OOM→CPU | model=SuTraN_DA | log=BPIC15_1
[2026-05-31 11:45:57] DONE | model=CRTP_LSTM_DA | log=BPIC15_1
[2026-05-31 11:45:57] RUNNING | model=SuTraN_DA | log=BPIC15_2
[2026-05-31 11:46:22] OOM→CPU | model=SuTraN_DA | log=BPIC15_2
[2026-05-31 12:19:11] RUNNING | model=CRTP_LSTM_NDA | log=BPIC15_1
[2026-05-31 12:19:11] RUNNING | model=SuTraN_NDA | log=BPIC15_1
[2026-05-31 12:19:11] RUNNING | model=BEST | log=BPIC15_1
[2026-05-31 12:19:11] RUNNING | model=ED_LSTM | log=BPIC15_1
[2026-05-31 12:19:11] RUNNING | model=SEP_LSTM | log=BPIC15_1
[2026-05-31 12:19:11] RUNNING | model=SuTraN_NDA | log=BPIC15_2
[2026-05-31 12:19:11] RUNNING | model=CRTP_LSTM_NDA | log=BPIC15_2
[2026-05-31 12:19:11] RUNNING | model=ED_LSTM | log=BPIC15_2
[2026-05-31 12:19:11] RUNNING | model=BEST | log=BPIC15_2
[2026-05-31 12:19:11] RUNNING | model=SEP_LSTM | log=BPIC15_2
[2026-05-31 12:19:11] RUNNING | model=SuTraN_NDA | log=BPIC15_3
[2026-05-31 12:19:11] RUNNING | model=CRTP_LSTM_NDA | log=BPIC15_3
[2026-05-31 12:19:11] RUNNING | model=ED_LSTM | log=BPIC15_3
[2026-05-31 12:19:11] RUNNING | model=SEP_LSTM | log=BPIC15_3
[2026-05-31 12:19:11] RUNNING | model=BEST | log=BPIC15_3
[2026-05-31 12:19:11] RUNNING | model=SuTraN_NDA | log=BPIC15_4
[2026-05-31 12:19:11] RUNNING | model=CRTP_LSTM_NDA | log=BPIC15_4
[2026-05-31 12:19:11] RUNNING | model=ED_LSTM | log=BPIC15_4
[2026-05-31 12:19:11] RUNNING | model=SEP_LSTM | log=BPIC15_4
[2026-05-31 12:19:11] RUNNING | model=BEST | log=BPIC15_4
[2026-05-31 12:19:11] RUNNING | model=CRTP_LSTM_NDA | log=BPIC15_5
[2026-05-31 12:19:11] RUNNING | model=SuTraN_NDA | log=BPIC15_5
[2026-05-31 12:19:11] RUNNING | model=ED_LSTM | log=BPIC15_5
[2026-05-31 12:19:11] RUNNING | model=BEST | log=BPIC15_5
[2026-05-31 12:19:11] RUNNING | model=SEP_LSTM | log=BPIC15_5
[2026-05-31 12:19:11] RUNNING | model=ED_LSTM | log=RequestForPayment
[2026-05-31 12:19:11] RUNNING | model=CRTP_LSTM_NDA | log=RequestForPayment
[2026-05-31 12:19:11] RUNNING | model=SuTraN_NDA | log=RequestForPayment
[2026-05-31 12:19:11] RUNNING | model=SEP_LSTM | log=RequestForPayment
[2026-05-31 12:19:11] RUNNING | model=BEST | log=RequestForPayment
[2026-05-31 12:19:31] DONE | model=BEST | log=RequestForPayment
[2026-05-31 12:19:31] RUNNING | model=SuTraN_NDA | log=Sepsis
[2026-05-31 12:32:45] DONE | model=BEST | log=BPIC15_4
[2026-05-31 12:32:45] RUNNING | model=CRTP_LSTM_NDA | log=Sepsis
[2026-05-31 12:42:15] DONE | model=BEST | log=BPIC15_1
[2026-05-31 12:42:15] RUNNING | model=ED_LSTM | log=Sepsis
[2026-05-31 12:45:59] DONE | model=BEST | log=BPIC15_2
[2026-05-31 12:45:59] RUNNING | model=SEP_LSTM | log=Sepsis
[2026-05-31 12:47:28] DONE | model=BEST | log=BPIC15_3
[2026-05-31 12:47:28] RUNNING | model=BEST | log=Sepsis
[2026-05-31 12:47:55] DONE | model=BEST | log=Sepsis
[2026-05-31 12:47:55] RUNNING | model=SuTraN_NDA | log=DomesticDeclarations
[2026-05-31 12:59:42] DONE | model=BEST | log=BPIC15_5
[2026-05-31 12:59:42] RUNNING | model=CRTP_LSTM_NDA | log=DomesticDeclarations
[2026-05-31 13:04:51] DONE | model=CRTP_LSTM_NDA | log=Sepsis
[2026-05-31 13:04:51] RUNNING | model=ED_LSTM | log=DomesticDeclarations
[2026-05-31 13:05:40] DONE | model=SEP_LSTM | log=Sepsis
[2026-05-31 13:05:40] RUNNING | model=SEP_LSTM | log=DomesticDeclarations
[2026-05-31 13:08:06] OOM→CPU | model=SEP_LSTM | log=BPIC15_5
[2026-05-31 13:09:40] OOM→CPU | model=SEP_LSTM | log=BPIC15_3
[2026-05-31 13:12:31] OOM→CPU | model=ED_LSTM | log=BPIC15_4
[2026-05-31 13:13:18] OOM→CPU | model=CRTP_LSTM_NDA | log=BPIC15_5
[2026-05-31 13:14:56] DONE | model=SEP_LSTM | log=RequestForPayment
[2026-05-31 13:14:56] RUNNING | model=BEST | log=DomesticDeclarations
[2026-05-31 13:15:29] DONE | model=BEST | log=DomesticDeclarations
[2026-05-31 13:15:29] RUNNING | model=SuTraN_NDA | log=PrepaidTravelCost
[2026-05-31 13:21:20] OOM→CPU | model=CRTP_LSTM_NDA | log=BPIC15_4
[2026-05-31 13:21:20] OOM→CPU | model=ED_LSTM | log=BPIC15_1
[2026-05-31 13:22:27] OOM→CPU | model=ED_LSTM | log=BPIC15_5
[2026-05-31 13:25:43] DONE | model=ED_LSTM | log=Sepsis
[2026-05-31 13:25:43] RUNNING | model=CRTP_LSTM_NDA | log=PrepaidTravelCost
[2026-05-31 13:28:39] DONE | model=SEP_LSTM | log=BPIC15_4
[2026-05-31 13:28:39] RUNNING | model=ED_LSTM | log=PrepaidTravelCost
[2026-05-31 13:43:46] DONE | model=ED_LSTM | log=RequestForPayment
[2026-05-31 13:43:46] RUNNING | model=SEP_LSTM | log=PrepaidTravelCost
[2026-05-31 13:48:45] DONE | model=SEP_LSTM | log=BPIC15_2
[2026-05-31 13:48:45] RUNNING | model=BEST | log=PrepaidTravelCost
[2026-05-31 13:49:13] DONE | model=BEST | log=PrepaidTravelCost
[2026-05-31 13:49:13] RUNNING | model=SuTraN_NDA | log=InternationalDeclarations
[2026-05-31 13:54:43] DONE | model=SEP_LSTM | log=BPIC15_1
[2026-05-31 13:54:43] RUNNING | model=CRTP_LSTM_NDA | log=InternationalDeclarations
[2026-05-31 13:58:26] DONE | model=SuTraN_NDA | log=RequestForPayment
[2026-05-31 13:58:26] RUNNING | model=ED_LSTM | log=InternationalDeclarations
[2026-05-31 14:05:09] DONE | model=SEP_LSTM | log=PrepaidTravelCost
[2026-05-31 14:05:09] RUNNING | model=SEP_LSTM | log=InternationalDeclarations
[2026-05-31 14:11:41] DONE | model=SEP_LSTM | log=DomesticDeclarations
[2026-05-31 14:11:41] RUNNING | model=BEST | log=InternationalDeclarations
[2026-05-31 14:13:19] DONE | model=BEST | log=InternationalDeclarations
[2026-05-31 14:13:19] RUNNING | model=SuTraN_NDA | log=BPI_Challenge_2012_A
[2026-05-31 14:14:20] DONE | model=CRTP_LSTM_NDA | log=RequestForPayment
[2026-05-31 14:14:20] RUNNING | model=CRTP_LSTM_NDA | log=BPI_Challenge_2012_A
[2026-05-31 14:26:51] DONE | model=CRTP_LSTM_NDA | log=PrepaidTravelCost
[2026-05-31 14:26:51] RUNNING | model=ED_LSTM | log=BPI_Challenge_2012_A
[2026-05-31 14:29:32] OOM→CPU | model=ED_LSTM | log=BPIC15_2
[2026-05-31 14:29:38] OOM→CPU | model=ED_LSTM | log=BPI_Challenge_2012_A
[2026-05-31 14:29:48] OOM→CPU | model=ED_LSTM | log=BPIC15_3
[2026-05-31 14:29:49] OOM→CPU | model=ED_LSTM | log=PrepaidTravelCost
[2026-05-31 14:30:12] OOM→CPU | model=SEP_LSTM | log=InternationalDeclarations
[2026-05-31 14:36:05] OOM→CPU | model=SuTraN_NDA | log=BPIC15_2
[2026-05-31 14:39:07] DONE | model=CRTP_LSTM_NDA | log=BPIC15_1
[2026-05-31 14:39:07] RUNNING | model=SEP_LSTM | log=BPI_Challenge_2012_A
[2026-05-31 14:39:20] DONE | model=CRTP_LSTM_NDA | log=DomesticDeclarations
[2026-05-31 14:39:20] RUNNING | model=BEST | log=BPI_Challenge_2012_A
[2026-05-31 14:40:17] DONE | model=BEST | log=BPI_Challenge_2012_A
[2026-05-31 14:40:17] RUNNING | model=SuTraN_NDA | log=BPI_Challenge_2012_O
[2026-05-31 14:41:16] DONE | model=SuTraN_NDA | log=Sepsis
[2026-05-31 14:41:16] RUNNING | model=CRTP_LSTM_NDA | log=BPI_Challenge_2012_O
[2026-05-31 14:50:20] DONE | model=CRTP_LSTM_NDA | log=BPIC15_3
[2026-05-31 14:50:20] RUNNING | model=ED_LSTM | log=BPI_Challenge_2012_O
[2026-05-31 14:51:05] DONE | model=CRTP_LSTM_NDA | log=BPIC15_2
[2026-05-31 14:51:05] RUNNING | model=SEP_LSTM | log=BPI_Challenge_2012_O
[2026-05-31 14:52:31] DONE | model=ED_LSTM | log=DomesticDeclarations
[2026-05-31 14:52:31] RUNNING | model=BEST | log=BPI_Challenge_2012_O
[2026-05-31 14:53:02] DONE | model=BEST | log=BPI_Challenge_2012_O
[2026-05-31 14:53:02] RUNNING | model=SuTraN_NDA | log=BPI_Challenge_2012_W
[2026-05-31 15:12:23] DONE | model=SEP_LSTM | log=BPI_Challenge_2012_A
[2026-05-31 15:12:23] RUNNING | model=CRTP_LSTM_NDA | log=BPI_Challenge_2012_W
[2026-05-31 15:14:27] DONE | model=CRTP_LSTM_NDA | log=BPI_Challenge_2012_A
[2026-05-31 15:14:27] RUNNING | model=ED_LSTM | log=BPI_Challenge_2012_W
[2026-05-31 15:15:10] DONE | model=SEP_LSTM | log=BPI_Challenge_2012_O
[2026-05-31 15:15:10] RUNNING | model=SEP_LSTM | log=BPI_Challenge_2012_W
[2026-05-31 15:16:28] DONE | model=CRTP_LSTM_NDA | log=BPI_Challenge_2012_O
