[2026-07-01 07:15:30] RUNNING | model=SuTraN_NDA | log=BPIC15_1
[2026-07-01 08:39:04] DONE | model=CRTP_LSTM_NDA | log=BPIC15_2
[2026-07-01 08:39:04] RUNNING | model=CRTP_LSTM_NDA | log=BPI_Challenge_2012_O
[2026-07-01 08:44:07] DONE | model=CRTP_LSTM_NDA | log=BPIC15_3
[2026-07-01 08:44:07] RUNNING | model=ED_LSTM | log=BPI_Challenge_2012_O
[2026-07-01 08:58:16] DONE | model=SEP_LSTM | log=BPIC15_5
[2026-07-01 08:58:16] RUNNING | model=SEP_LSTM | log=BPI_Challenge_2012_O
[2026-07-01 09:21:01] DONE | model=CRTP_LSTM_NDA | log=BPI_Challenge_2012_O
[2026-07-01 09:21:01] RUNNING | model=BEST | log=BPI_Challenge_2012_O
[2026-07-01 09:21:14] DONE | model=BEST | log=BPI_Challenge_2012_O
[2026-07-01 09:21:23] DONE | model=SEP_LSTM | log=BPI_Challenge_2012_A
[2026-07-01 09:21:59] DONE | model=ED_LSTM | log=BPIC15_1
[2026-07-01 09:28:05] DONE | model=CRTP_LSTM_NDA | log=BPIC15_5
[2026-07-01 09:35:09] DONE | model=SuTraN_NDA | log=Sepsis
[2026-07-01 09:35:12] DONE | model=CRTP_LSTM_NDA | log=BPI_Challenge_2012_A
[2026-07-01 09:35:37] DONE | model=ED_LSTM | log=BPI_Challenge_2012_O
[2026-07-01 09:35:41] DONE | model=ED_LSTM | log=BPIC15_4
[2026-07-01 09:39:04] DONE | model=SuTraN_NDA | log=BPI_Challenge_2012_O
[2026-07-01 09:39:48] DONE | model=SEP_LSTM | log=BPI_Challenge_2012_O
[2026-07-01 09:40:46] DONE | model=SuTraN_NDA | log=BPI_Challenge_2012_A
[2026-07-01 09:53:13] DONE | model=ED_LSTM | log=BPIC15_2
[2026-07-01 09:53:17] DONE | model=ED_LSTM | log=BPI_Challenge_2012_A
[2026-07-01 10:05:53] DONE | model=ED_LSTM | log=BPIC15_3
[2026-07-01 10:39:05] DONE | model=ED_LSTM | log=BPIC15_5
[2026-07-01 10:50:55] DONE | model=SuTraN_NDA | log=BPIC15_4
[2026-07-01 14:31:42] DONE | model=SuTraN_NDA | log=BPIC15_5
[2026-07-01 15:01:11] DONE | model=SuTraN_NDA | log=BPIC15_1
[2026-07-01 15:14:15] DONE | model=SuTraN_NDA | log=BPIC15_3
[2026-07-01 15:51:28] DONE | model=SuTraN_NDA | log=BPIC15_2
