[2026-07-04 09:48:14] RUNNING | model=SuTraN_NDA | log=BPIC15_1
[2026-07-04 10:48:07] DONE | model=CRTP_LSTM_NDA | log=BPIC15_4
[2026-07-04 10:48:07] RUNNING | model=ED_LSTM | log=Sepsis
[2026-07-04 10:51:32] DONE | model=SEP_LSTM | log=BPIC15_3
[2026-07-04 10:51:32] RUNNING | model=SEP_LSTM | log=Sepsis
[2026-07-04 10:55:47] DONE | model=ED_LSTM | log=BPIC15_4
[2026-07-04 10:55:47] RUNNING | model=BEST | log=Sepsis
[2026-07-04 10:56:07] DONE | model=BEST | log=Sepsis
[2026-07-04 10:56:07] RUNNING | model=SuTraN_NDA | log=BPI_Challenge_2012_A
[2026-07-04 10:56:32] DONE | model=CRTP_LSTM_NDA | log=Sepsis
[2026-07-04 10:56:32] RUNNING | model=CRTP_LSTM_NDA | log=BPI_Challenge_2012_A
[2026-07-04 10:58:36] DONE | model=ED_LSTM | log=Sepsis
[2026-07-04 10:58:36] RUNNING | model=ED_LSTM | log=BPI_Challenge_2012_A
[2026-07-04 11:01:10] DONE | model=SEP_LSTM | log=Sepsis
[2026-07-04 11:01:10] RUNNING | model=SEP_LSTM | log=BPI_Challenge_2012_A
[2026-07-04 11:07:05] DONE | model=CRTP_LSTM_NDA | log=BPIC15_1
[2026-07-04 11:07:05] RUNNING | model=BEST | log=BPI_Challenge_2012_A
[2026-07-04 11:07:23] DONE | model=BEST | log=BPI_Challenge_2012_A
[2026-07-04 11:07:23] RUNNING | model=SuTraN_NDA | log=BPI_Challenge_2012_O
[2026-07-04 11:08:45] DONE | model=BEST | log=BPIC15_5
[2026-07-04 11:08:45] RUNNING | model=CRTP_LSTM_NDA | log=BPI_Challenge_2012_O
[2026-07-04 11:11:49] DONE | model=CRTP_LSTM_NDA | log=BPIC15_2
[2026-07-04 11:11:49] RUNNING | model=ED_LSTM | log=BPI_Challenge_2012_O
[2026-07-04 11:19:08] DONE | model=CRTP_LSTM_NDA | log=BPIC15_3
[2026-07-04 11:19:08] RUNNING | model=SEP_LSTM | log=BPI_Challenge_2012_O
[2026-07-04 11:30:14] DONE | model=SEP_LSTM | log=BPIC15_5
[2026-07-04 11:30:14] RUNNING | model=BEST | log=BPI_Challenge_2012_O
[2026-07-04 11:30:27] DONE | model=BEST | log=BPI_Challenge_2012_O
[2026-07-04 11:32:53] DONE | model=ED_LSTM | log=BPI_Challenge_2012_A
[2026-07-04 11:46:27] DONE | model=SEP_LSTM | log=BPI_Challenge_2012_O
[2026-07-04 11:50:26] DONE | model=CRTP_LSTM_NDA | log=BPI_Challenge_2012_O
[2026-07-04 11:55:42] DONE | model=ED_LSTM | log=BPI_Challenge_2012_O
[2026-07-04 11:56:17] DONE | model=CRTP_LSTM_NDA | log=BPIC15_5
[2026-07-04 11:57:12] DONE | model=SuTraN_NDA | log=BPI_Challenge_2012_O
[2026-07-04 12:03:41] DONE | model=CRTP_LSTM_NDA | log=BPI_Challenge_2012_A
[2026-07-04 12:04:56] DONE | model=ED_LSTM | log=BPIC15_1
[2026-07-04 12:08:24] DONE | model=SuTraN_NDA | log=BPI_Challenge_2012_A
[2026-07-04 12:13:31] DONE | model=SEP_LSTM | log=BPI_Challenge_2012_A
[2026-07-04 12:15:56] DONE | model=ED_LSTM | log=BPIC15_2
[2026-07-04 12:17:33] DONE | model=ED_LSTM | log=BPIC15_5
[2026-07-04 12:18:20] DONE | model=SuTraN_NDA | log=Sepsis
[2026-07-04 12:40:13] DONE | model=ED_LSTM | log=BPIC15_3
[2026-07-04 14:00:52] DONE | model=SuTraN_NDA | log=BPIC15_4
[2026-07-04 17:05:37] DONE | model=SuTraN_NDA | log=BPIC15_5
[2026-07-04 17:52:59] DONE | model=SuTraN_NDA | log=BPIC15_3
[2026-07-04 18:05:20] DONE | model=SuTraN_NDA | log=BPIC15_1
[2026-07-04 18:28:12] DONE | model=SuTraN_NDA | log=BPIC15_2
