[2026-06-29 10:00:41] RUNNING | model=CRTP_LSTM_NDA | log=BPIC15_1
[2026-06-29 19:24:17] DONE | model=SuTraN_NDA | log=BPIC15_3
[2026-06-29 19:26:15] DONE | model=SuTraN_NDA | log=BPIC15_1
[2026-06-29 21:29:15] DONE | model=SuTraN_NDA | log=BPIC15_2
[2026-06-30 07:38:44] RUNNING | model=SEP_LSTM | log=BPIC15_1
[2026-06-30 07:38:44] RUNNING | model=SEP_LSTM | log=BPIC15_2
[2026-06-30 07:38:44] RUNNING | model=SEP_LSTM | log=BPIC15_3
[2026-06-30 07:38:44] RUNNING | model=SEP_LSTM | log=BPIC15_4
[2026-06-30 07:38:44] RUNNING | model=SuTraN_NDA | log=Sepsis
[2026-06-30 07:38:44] RUNNING | model=ED_LSTM | log=Sepsis
[2026-06-30 07:38:44] RUNNING | model=SEP_LSTM | log=Sepsis
[2026-06-30 07:38:44] RUNNING | model=CRTP_LSTM_NDA | log=Sepsis
[2026-06-30 07:38:44] RUNNING | model=SEP_LSTM | log=BPIC15_5
[2026-06-30 07:38:44] RUNNING | model=ED_LSTM | log=BPI_Challenge_2012_A
[2026-06-30 07:38:44] RUNNING | model=SEP_LSTM | log=BPI_Challenge_2012_A
[2026-06-30 07:38:44] RUNNING | model=CRTP_LSTM_NDA | log=BPI_Challenge_2012_A
[2026-06-30 07:38:44] RUNNING | model=SuTraN_NDA | log=BPI_Challenge_2012_A
[2026-06-30 07:38:44] RUNNING | model=CRTP_LSTM_NDA | log=BPI_Challenge_2012_O
[2026-06-30 07:38:44] RUNNING | model=ED_LSTM | log=BPI_Challenge_2012_O
[2026-06-30 07:38:44] RUNNING | model=SEP_LSTM | log=BPI_Challenge_2012_O
[2026-06-30 07:38:44] RUNNING | model=SuTraN_NDA | log=BPI_Challenge_2012_O
[2026-06-30 07:44:51] DONE | model=SEP_LSTM | log=Sepsis
[2026-06-30 07:47:13] DONE | model=CRTP_LSTM_NDA | log=Sepsis
[2026-06-30 07:49:57] DONE | model=SuTraN_NDA | log=Sepsis
[2026-06-30 07:52:21] DONE | model=ED_LSTM | log=BPI_Challenge_2012_A
[2026-06-30 07:52:52] DONE | model=ED_LSTM | log=Sepsis
[2026-06-30 07:56:09] DONE | model=SEP_LSTM | log=BPI_Challenge_2012_O
[2026-06-30 07:56:15] DONE | model=SEP_LSTM | log=BPI_Challenge_2012_A
[2026-06-30 07:56:22] DONE | model=CRTP_LSTM_NDA | log=BPI_Challenge_2012_O
[2026-06-30 07:58:10] DONE | model=ED_LSTM | log=BPI_Challenge_2012_O
[2026-06-30 07:58:40] DONE | model=CRTP_LSTM_NDA | log=BPI_Challenge_2012_A
[2026-06-30 07:58:54] DONE | model=SuTraN_NDA | log=BPI_Challenge_2012_O
[2026-06-30 08:01:11] DONE | model=SuTraN_NDA | log=BPI_Challenge_2012_A
[2026-06-30 08:02:01] DONE | model=SEP_LSTM | log=BPIC15_4
[2026-06-30 08:09:04] DONE | model=SEP_LSTM | log=BPIC15_2
[2026-06-30 08:09:27] DONE | model=SEP_LSTM | log=BPIC15_1
[2026-06-30 08:15:22] DONE | model=SEP_LSTM | log=BPIC15_3
[2026-06-30 08:26:19] DONE | model=SEP_LSTM | log=BPIC15_5
[2026-09-01 15:10:53] RUNNING | model=SuTraN_NDA | log=BPIC15_1
[2026-09-01 15:13:02] RUNNING | model=CRTP_LSTM_NDA | log=BPIC15_1
[2026-09-01 15:16:37] RUNNING | model=ED_LSTM | log=BPIC15_1
[2026-09-01 15:23:54] RUNNING | model=SEP_LSTM | log=BPIC15_1
[2026-09-01 15:29:02] RUNNING | model=BEST | log=BPIC15_1
[2026-09-01 15:49:20] DONE | model=BEST | log=BPIC15_1
[2026-09-01 15:49:20] RUNNING | model=SuTraN_NDA | log=BPIC15_2
[2026-09-01 15:50:20] RUNNING | model=CRTP_LSTM_NDA | log=BPIC15_2
[2026-09-01 16:02:48] DONE | model=SEP_LSTM | log=BPIC15_1
[2026-09-01 16:02:48] RUNNING | model=ED_LSTM | log=BPIC15_2
[2026-09-01 16:11:47] DONE | model=CRTP_LSTM_NDA | log=BPIC15_1
[2026-09-01 16:11:47] RUNNING | model=SEP_LSTM | log=BPIC15_2
[2026-09-01 16:19:44] DONE | model=ED_LSTM | log=BPIC15_1
[2026-09-01 16:19:44] RUNNING | model=BEST | log=BPIC15_2
[2026-09-01 16:43:38] DONE | model=BEST | log=BPIC15_2
[2026-09-01 16:43:38] RUNNING | model=SuTraN_NDA | log=BPIC15_3
[2026-09-01 16:51:50] DONE | model=SEP_LSTM | log=BPIC15_2
[2026-09-01 16:51:50] RUNNING | model=CRTP_LSTM_NDA | log=BPIC15_3
[2026-09-01 16:54:55] DONE | model=CRTP_LSTM_NDA | log=BPIC15_2
[2026-09-01 16:54:55] RUNNING | model=ED_LSTM | log=BPIC15_3
[2026-09-01 18:09:26] DONE | model=CRTP_LSTM_NDA | log=BPIC15_3
[2026-09-01 18:09:26] RUNNING | model=SEP_LSTM | log=BPIC15_3
[2026-09-01 18:22:18] DONE | model=ED_LSTM | log=BPIC15_2
[2026-09-01 18:22:18] RUNNING | model=BEST | log=BPIC15_3
[2026-09-01 18:47:38] DONE | model=BEST | log=BPIC15_3
[2026-09-01 18:47:38] RUNNING | model=SuTraN_NDA | log=BPIC15_4
[2026-09-01 19:00:14] DONE | model=ED_LSTM | log=BPIC15_3
[2026-09-01 19:00:14] RUNNING | model=CRTP_LSTM_NDA | log=BPIC15_4
[2026-09-01 19:03:55] DONE | model=SEP_LSTM | log=BPIC15_3
[2026-09-01 19:03:55] RUNNING | model=ED_LSTM | log=BPIC15_4
[2026-09-01 19:55:29] DONE | model=CRTP_LSTM_NDA | log=BPIC15_4
[2026-09-01 19:55:29] RUNNING | model=SEP_LSTM | log=BPIC15_4
[2026-09-01 20:33:44] DONE | model=SEP_LSTM | log=BPIC15_4
[2026-09-01 20:33:44] RUNNING | model=BEST | log=BPIC15_4
[2026-09-01 20:45:35] DONE | model=BEST | log=BPIC15_4
[2026-09-01 20:45:35] RUNNING | model=SuTraN_NDA | log=BPIC15_5
[2026-09-01 20:49:46] DONE | model=ED_LSTM | log=BPIC15_4
[2026-09-01 20:49:46] RUNNING | model=CRTP_LSTM_NDA | log=BPIC15_5
[2026-09-01 22:36:27] DONE | model=CRTP_LSTM_NDA | log=BPIC15_5
[2026-09-01 22:36:27] RUNNING | model=ED_LSTM | log=BPIC15_5
[2026-09-01 22:40:02] RUNNING | model=SEP_LSTM | log=BPIC15_5
[2026-09-01 23:49:34] DONE | model=SEP_LSTM | log=BPIC15_5
[2026-09-01 23:49:34] RUNNING | model=BEST | log=BPIC15_5
[2026-09-02 00:26:48] DONE | model=BEST | log=BPIC15_5
[2026-09-02 00:26:48] RUNNING | model=SuTraN_NDA | log=Sepsis
[2026-09-02 00:44:49] DONE | model=ED_LSTM | log=BPIC15_5
[2026-09-02 00:44:49] RUNNING | model=CRTP_LSTM_NDA | log=Sepsis
[2026-09-02 00:51:19] DONE | model=SuTraN_NDA | log=Sepsis
[2026-09-02 00:51:19] RUNNING | model=ED_LSTM | log=Sepsis
[2026-09-02 01:00:08] DONE | model=CRTP_LSTM_NDA | log=Sepsis
[2026-09-02 01:00:08] RUNNING | model=SEP_LSTM | log=Sepsis
[2026-09-02 01:04:36] RUNNING | model=BEST | log=Sepsis
[2026-09-02 01:04:55] DONE | model=BEST | log=Sepsis
[2026-09-02 01:04:55] RUNNING | model=SuTraN_NDA | log=BPI_Challenge_2012_A
[2026-09-02 01:10:36] DONE | model=SEP_LSTM | log=Sepsis
[2026-09-02 01:10:36] RUNNING | model=CRTP_LSTM_NDA | log=BPI_Challenge_2012_A
[2026-09-02 01:16:41] DONE | model=ED_LSTM | log=Sepsis
[2026-09-02 01:16:41] RUNNING | model=ED_LSTM | log=BPI_Challenge_2012_A
[2026-09-02 01:41:06] DONE | model=ED_LSTM | log=BPI_Challenge_2012_A
[2026-09-02 01:41:06] RUNNING | model=SEP_LSTM | log=BPI_Challenge_2012_A
[2026-09-02 02:08:06] RUNNING | model=BEST | log=BPI_Challenge_2012_A
[2026-09-02 02:08:23] DONE | model=BEST | log=BPI_Challenge_2012_A
[2026-09-02 02:08:23] RUNNING | model=SuTraN_NDA | log=BPI_Challenge_2012_O
[2026-09-02 02:14:05] DONE | model=CRTP_LSTM_NDA | log=BPI_Challenge_2012_A
[2026-09-02 02:14:05] RUNNING | model=CRTP_LSTM_NDA | log=BPI_Challenge_2012_O
[2026-09-02 02:18:49] DONE | model=SEP_LSTM | log=BPI_Challenge_2012_A
[2026-09-02 02:18:49] RUNNING | model=ED_LSTM | log=BPI_Challenge_2012_O
[2026-09-02 02:19:05] DONE | model=SuTraN_NDA | log=BPI_Challenge_2012_A
[2026-09-02 02:19:05] RUNNING | model=SEP_LSTM | log=BPI_Challenge_2012_O
[2026-09-02 02:54:40] DONE | model=CRTP_LSTM_NDA | log=BPI_Challenge_2012_O
[2026-09-02 02:54:40] RUNNING | model=BEST | log=BPI_Challenge_2012_O
[2026-09-02 02:54:51] DONE | model=BEST | log=BPI_Challenge_2012_O
[2026-09-02 02:57:56] DONE | model=SEP_LSTM | log=BPI_Challenge_2012_O
[2026-09-02 03:03:26] DONE | model=SuTraN_NDA | log=BPI_Challenge_2012_O
[2026-09-02 03:18:50] DONE | model=ED_LSTM | log=BPI_Challenge_2012_O
[2026-09-02 04:27:12] DONE | model=SuTraN_NDA | log=BPIC15_4
[2026-09-02 04:52:13] DONE | model=SuTraN_NDA | log=BPIC15_1
[2026-09-02 07:57:00] DONE | model=SuTraN_NDA | log=BPIC15_3
[2026-09-02 08:21:59] RUNNING | model=SuTraN_NDA | log=BPIC15_2
[2026-09-02 08:21:59] RUNNING | model=SuTraN_NDA | log=BPIC15_5
